lang_a,lang_b,family_id,ling_divergence,geo_distance_km,lat_a,lon_a,lat_b,lon_b,corridor_ruggedness,log_geo_dist
AINU_KUSHIRO,KURIL_AINU,ainu1252,0.4157450076804916,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,SAKHALIN_AINU,ainu1252,0.3306390977443609,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,AINU_NAIRO,ainu1252,0.22803571428571426,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,AINU_NAYORO,ainu1252,0.2674404761904762,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,AINU_NIIKAPPU,ainu1252,0.33907738095238094,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,AINU_NUKKIBETSU,ainu1252,0.3176488095238095,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,AINU_OBIHIRO,ainu1252,0.3104464285714285,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,AINU_OCHIHO,ainu1252,0.1186904761904762,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,AINU_OSHAMAMBE,ainu1252,0.32690205627705626,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,AINU_RAICHISHKA,ainu1252,0.17993506493506492,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,AINU_SAMANI,ainu1252,0.3229464285714285,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,AINU_SARU,ainu1252,0.4375522138680033,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,AINU_SHIRAURA,ainu1252,0.1019047619047619,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,AINU_SOYA,ainu1252,0.2633061179017061,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,AINU_TARANTOMARI,ainu1252,0.09819444444444443,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,AINU_YAKUMO,ainu1252,0.30110119047619044,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,HOKKAIDO_AINU,ainu1252,0.37470238095238095,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,KURIL_AINU,ainu1252,0.39754224270353306,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_MAOKA,SAKHALIN_AINU,ainu1252,0.29906015037593986,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,AINU_NAYORO,ainu1252,0.2643253968253968,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,AINU_NIIKAPPU,ainu1252,0.3169444444444444,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,AINU_NUKKIBETSU,ainu1252,0.31069444444444444,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,AINU_OBIHIRO,ainu1252,0.29795634920634917,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,AINU_OCHIHO,ainu1252,0.23654761904761906,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,AINU_OSHAMAMBE,ainu1252,0.2978373015873016,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,AINU_RAICHISHKA,ainu1252,0.3098511904761905,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,AINU_SAMANI,ainu1252,0.32206349206349205,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,AINU_SARU,ainu1252,0.398454469507101,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,AINU_SHIRAURA,ainu1252,0.2706845238095238,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,AINU_SOYA,ainu1252,0.29152077497665735,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,AINU_TARANTOMARI,ainu1252,0.19053571428571428,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,AINU_YAKUMO,ainu1252,0.29688492063492067,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,HOKKAIDO_AINU,ainu1252,0.3611706349206349,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,KURIL_AINU,ainu1252,0.4591397849462366,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAIRO,SAKHALIN_AINU,ainu1252,0.3754177109440267,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAYORO,AINU_NIIKAPPU,ainu1252,0.13404761904761905,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAYORO,AINU_NUKKIBETSU,ainu1252,0.13535714285714287,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAYORO,AINU_OBIHIRO,ainu1252,0.08625000000000001,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAYORO,AINU_OCHIHO,ainu1252,0.30892857142857144,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAYORO,AINU_OSHAMAMBE,ainu1252,0.11627705627705627,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAYORO,AINU_RAICHISHKA,ainu1252,0.3018100649350649,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAYORO,AINU_SAMANI,ainu1252,0.10470238095238096,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAYORO,AINU_SARU,ainu1252,0.25348788638262326,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAYORO,AINU_SHIRAURA,ainu1252,0.29711309523809526,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAYORO,AINU_SOYA,ainu1252,0.12638910109498344,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAYORO,AINU_TARANTOMARI,ainu1252,0.24021825396825394,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAYORO,AINU_YAKUMO,ainu1252,0.09773809523809525,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAYORO,HOKKAIDO_AINU,ainu1252,0.1880952380952381,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAYORO,KURIL_AINU,ainu1252,0.4023809523809524,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NAYORO,SAKHALIN_AINU,ainu1252,0.3236842105263158,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NIIKAPPU,AINU_NUKKIBETSU,ainu1252,0.030952380952380953,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NIIKAPPU,AINU_OBIHIRO,ainu1252,0.09729166666666667,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NIIKAPPU,AINU_OCHIHO,ainu1252,0.3460416666666667,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NIIKAPPU,AINU_OSHAMAMBE,ainu1252,0.07224025974025974,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NIIKAPPU,AINU_RAICHISHKA,ainu1252,0.35363906926406924,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NIIKAPPU,AINU_SAMANI,ainu1252,0.12645833333333334,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NIIKAPPU,AINU_SARU,ainu1252,0.19596908939014202,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NIIKAPPU,AINU_SHIRAURA,ainu1252,0.3415178571428571,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NIIKAPPU,AINU_SOYA,ainu1252,0.16747135217723452,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NIIKAPPU,AINU_TARANTOMARI,ainu1252,0.3082837301587301,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
